2022-01-14, 185, 50, 14, 24.090081969909246
2022-01-14, 205, 60, 15, 39.92449041517438
2022-01-14, 185, 50, 14,  24.09
2022-01-14, 184, 59, 33,  59.41
2022-01-14, 153, 78, 90,  137.98
2022-01-14, 43, 53, 23,  1.87
2022-01-14, 5153, 23, 43,  43695.37
2022-01-14, 76, 34, 54,  8.62
2022-01-14, 234, 543, 234,  6738.62
2022-01-14, 43, 43, 43,  2.77
2022-01-14, 43, 43, 43,  2.77
2022-01-14, 42, 42, 42,  2.52
2022-01-14, 42, 42, 42,  2.52
2022-01-14, 54, 53, 52,  6.55
2022-01-14, 143, 43, 55,  40.29
2022-01-14, 54, 89, 99,  20.89
2022-01-14, 77, 77, 77,  28.90
2022-01-14, 87, 7, 8,  0.35
2022-01-14, 8, 8, 8,  0.00
2022-01-14, 8, 8, 8,  0.00
2022-01-15, 23, 43, 55,  1.01
2022-01-15, 43, 43, 43,  2.77
2022-01-15, 22, 22, 22,  0.19
2022-01-15, 143, 43, 24,  18.54
2022-01-15, 43, 53, 244,  19.15
2022-01-15, 321, 321, 123,  4317.13
2022-01-15, 123, 123, 123,  191.49
2022-01-15, 789, 78, 78,  3961.02
